격자번호,중심위도,중심경도,격자한변길이_m,격자전체면적_m2,CCTV개수,가로등개수,비상벨개수,경찰서개수,지구대개수,파출소개수,전체시설개수,안전점수,안전등급,등급색상
81,37.54954379308103,127.10147694649693,500,250000,27,32,23,0,0,0,82,43.0,C,yellow
82,37.54954379308103,127.10713432595783,500,250000,18,61,16,0,0,0,95,47.25,C,yellow
83,37.54954379308103,127.11279170541873,500,250000,1,17,1,0,0,0,19,6.25,E,red
87,37.55404879434195,127.06753266973153,500,250000,1,6,1,0,0,0,8,3.5,E,red
88,37.55404879434195,127.07319004919243,500,250000,32,41,28,0,0,0,101,45.25,C,yellow
89,37.55404879434195,127.07884742865333,500,250000,34,46,32,0,0,0,112,46.5,C,yellow
90,37.55404879434195,127.08450480811423,500,250000,31,50,28,0,0,0,109,47.5,C,yellow
91,37.55404879434195,127.09016218757513,500,250000,25,55,21,0,0,0,101,48.75,C,yellow
92,37.55404879434195,127.09581956703603,500,250000,31,26,27,0,0,0,84,41.5,C,yellow
93,37.55404879434195,127.10147694649693,500,250000,39,12,33,0,0,0,84,38.0,D,orange
94,37.55404879434195,127.10713432595783,500,250000,2,4,2,0,0,0,8,5.0,E,red
95,37.55404879434195,127.11279170541873,500,250000,0,19,0,0,0,0,19,4.75,E,red
100,37.558553795602876,127.07319004919243,500,250000,17,38,13,0,0,0,68,40.0,C,yellow
101,37.558553795602876,127.07884742865333,500,250000,24,106,21,0,0,1,152,70.0,B,yellowgreen
102,37.558553795602876,127.08450480811423,500,250000,37,25,33,0,0,0,95,41.25,C,yellow
103,37.558553795602876,127.09016218757513,500,250000,23,59,20,0,0,0,102,49.75,C,yellow
104,37.558553795602876,127.09581956703603,500,250000,20,9,20,0,0,0,49,37.25,D,orange
105,37.558553795602876,127.10147694649693,500,250000,8,0,6,0,0,0,14,15.0,E,red
106,37.558553795602876,127.10713432595783,500,250000,1,0,1,0,0,0,2,2.0,E,red
107,37.558553795602876,127.11279170541873,500,250000,0,9,0,0,0,0,9,2.25,E,red
112,37.5630587968638,127.07319004919243,500,250000,4,39,3,0,0,0,46,17.25,E,red
113,37.5630587968638,127.07884742865333,500,250000,33,84,27,0,0,0,144,55.0,C,yellow
114,37.5630587968638,127.08450480811423,500,250000,29,82,24,0,0,2,137,70.0,B,yellowgreen
115,37.5630587968638,127.09016218757513,500,250000,13,5,13,0,0,0,31,25.75,D,orange
116,37.5630587968638,127.09581956703603,500,250000,14,7,13,0,0,0,34,27.75,D,orange
117,37.5630587968638,127.10147694649693,500,250000,1,0,0,0,0,0,1,1.5,E,red
124,37.56756379812472,127.07319004919243,500,250000,0,0,0,0,0,0,0,0.0,E,red
125,37.56756379812472,127.07884742865333,500,250000,29,77,26,0,0,1,133,69.25,B,yellowgreen
126,37.56756379812472,127.08450480811423,500,250000,37,66,32,0,0,0,135,51.5,C,yellow
127,37.56756379812472,127.09016218757513,500,250000,22,0,18,0,0,0,40,35.0,D,orange
128,37.56756379812472,127.09581956703603,500,250000,1,0,1,0,0,0,2,2.0,E,red
129,37.56756379812472,127.10147694649693,500,250000,2,0,1,0,0,0,3,3.5,E,red
137,37.57206879938565,127.07884742865333,500,250000,9,31,8,0,0,0,48,25.25,D,orange
138,37.57206879938565,127.08450480811423,500,250000,11,28,10,0,0,0,49,28.5,D,orange
139,37.57206879938565,127.09016218757513,500,250000,3,0,3,0,0,0,6,6.0,E,red
140,37.57206879938565,127.09581956703603,500,250000,0,0,0,0,0,0,0,0.0,E,red
141,37.57206879938565,127.10147694649693,500,250000,0,0,0,0,0,0,0,0.0,E,red
