grid_id,대표점_위도,대표점_경도,cell_size_m,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell,계산방식,CCTV개수,가로등개수,비상벨개수,경찰서개수,전체시설개수,CCTV보정개수,가로등보정개수,비상벨보정개수,경찰서보정개수,전체시설보정개수,안전점수,안전등급
G0011,37.538263555482175,127.07030794449065,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,23,64,16,0,103,23.0,64.0,16.0,0.0,103.0,51.3,D
G0012,37.542770230766884,127.07028208070243,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,32,44,25,0,101,32.0,44.0,25.0,0.0,101.0,55.6,C
G0013,37.546641784898675,127.07025985725497,500,245504.96,250000,0.982,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,32,81,29,0,142,32.59,82.48,29.53,0.0,144.6,67.56,C
G0014,37.55179618151824,127.07124393278019,500,160616.01,250000,0.6425,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,21,36,18,0,75,32.69,56.03,28.02,0.0,116.74,59.69,C
G0015,37.52507901500031,127.07604217324314,500,237443.05,250000,0.9498,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0016,37.529270645511254,127.07601845005408,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,20,11,19,0,50,20.0,11.0,19.0,0.0,50.0,36.3,E
G0017,37.53377733103142,127.07599293825996,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,25,53,20,0,98,25.0,53.0,20.0,0.0,98.0,53.4,D
G0018,37.53828401308889,127.075967420783,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,17,65,17,0,99,17.0,65.0,17.0,0.0,99.0,48.4,D
G0019,37.5427906916835,127.0759418976218,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,2,1,2,0,5,2.0,1.0,2.0,0.0,5.0,3.7,E
G0020,37.547297366815116,127.07591636877508,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,19,76,16,0,111,19.0,76.0,16.0,0.0,111.0,52.1,D
G0021,37.55180403848359,127.07589083424145,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,16,41,13,0,70,16.0,41.0,13.0,0.0,70.0,36.5,E
G0022,37.55611222902993,127.07586641895375,500,249557.63,250000,0.9982,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,37,74,33,0,144,37.07,74.13,33.06,0.0,144.26,68.19,C
G0023,37.560659509815444,127.07584064303913,500,241086.32,250000,0.9643,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,19,73,14,0,106,19.7,75.7,14.52,0.0,109.92,51.02,D
G0024,37.56535360802556,127.07668893786338,500,168578.31,250000,0.6743,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,13,81,9,0,103,19.28,120.12,13.35,0.0,152.75,56.84,C
G0025,37.52572841188587,127.08169714425455,500,192544.64,250000,0.7702,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0026,37.52929082536761,127.08167725100141,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,25,10,21,0,56,25.0,10.0,21.0,0.0,56.0,40.5,D
G0027,37.533797514153036,127.08165207968399,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,34,74,29,0,137,34.0,74.0,29.0,0.0,137.0,66.0,C
G0028,37.53830419947613,127.08162690275954,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,30,70,28,0,128,30.0,70.0,28.0,0.0,128.0,62.0,C
G0029,37.542810881336784,127.08160172022674,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,15,17,14,1,47,15.0,17.0,14.0,1.0,47.0,37.1,E
G0030,37.54731755973481,127.08157653208426,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,2,33,1,0,36,2.0,33.0,1.0,0.0,36.0,12.3,E
G0031,37.55182423467007,127.08155133833077,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,18,0,18,0,36,18.0,0.0,18.0,0.0,36.0,30.6,E
G0032,37.55633090614245,127.08152613896499,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,32,72,30,0,134,32.0,72.0,30.0,0.0,134.0,64.0,C
G0033,37.56083757415176,127.08150093398557,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,29,79,27,0,135,29.0,79.0,27.0,0.0,135.0,64.0,C
G0034,37.5653442386979,127.08147572339118,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,37,54,34,0,125,37.0,54.0,34.0,0.0,125.0,62.1,C
G0035,37.5693942984801,127.08145306226747,500,219068.9,250000,0.8763,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,34,66,29,0,129,38.8,75.32,33.09,0.0,147.21,69.76,C
G0036,37.525442047881796,127.08577226371183,500,78852.67,250000,0.3154,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0037,37.52931073409141,127.08733605755447,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,18,27,17,0,62,18.0,27.0,17.0,0.0,62.0,37.7,E
G0038,37.53381742609822,127.08731122671504,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,24,30,18,0,72,24.0,30.0,18.0,0.0,72.0,43.8,D
G0039,37.53832411464309,127.08728639034445,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,31,42,30,0,103,31.0,42.0,30.0,0.0,103.0,54.3,D
G0040,37.54283079972588,127.08726154844133,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,35,31,28,0,94,35.0,31.0,28.0,0.0,94.0,53.8,D
G0041,37.547337481346425,127.08723670100444,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,28,48,26,0,102,28.0,48.0,26.0,0.0,102.0,54.0,D
G0042,37.551844159504604,127.08721184803244,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,23,40,18,0,81,23.0,40.0,18.0,0.0,81.0,46.1,D
G0043,37.55635083420027,127.08718698952401,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,30,64,25,0,119,30.0,64.0,25.0,0.0,119.0,60.2,C
G0044,37.560857505433276,127.0871621254779,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,26,63,25,0,114,26.0,63.0,25.0,0.0,114.0,57.1,C
G0045,37.56536417320346,127.08713725589276,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,28,39,24,0,91,28.0,39.0,24.0,0.0,91.0,51.3,D
G0046,37.56871587949938,127.0871187562396,500,168726.28,250000,0.6749,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,22,29,17,0,68,32.6,42.97,25.19,0.0,100.75,55.71,C
G0047,37.529273488855786,127.09157151233481,500,127338.76,250000,0.5094,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,3,7,3,0,13,5.89,13.74,5.89,0.0,25.52,14.14,E
G0048,37.533837066866155,127.0929703792773,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,21,104,12,0,137,21.0,104.0,12.0,0.0,137.0,56.7,C
G0049,37.538343758588915,127.09294588346184,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,35,105,29,0,169,35.0,105.0,29.0,0.0,169.0,74.5,B
G0050,37.54285044684996,127.09292138218973,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,27,54,23,0,104,27.0,54.0,23.0,0.0,104.0,55.1,C
G0051,37.54735713164917,127.09289687545972,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,17,37,15,0,69,17.0,37.0,15.0,0.0,69.0,38.0,E
G0052,37.55186381298637,127.09287236327047,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,30,27,29,0,86,30.0,27.0,29.0,0.0,86.0,49.1,D
G0053,37.55637049086144,127.09284784562075,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,27,25,25,0,77,27.0,25.0,25.0,0.0,77.0,46.4,D
G0054,37.56087716527421,127.09282332250923,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,22,17,21,0,60,22.0,17.0,21.0,0.0,60.0,40.5,D
G0055,37.565383836224555,127.09279879393466,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0056,37.568671240828884,127.09278089803398,500,146735.7,250000,0.5869,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,4,0,4,0,8,6.81,0.0,6.81,0.0,13.63,11.59,E
G0057,37.53331232313368,127.0969410273573,500,130736.85,250000,0.5229,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0058,37.538363131312806,127.09860538203587,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,3,43,1,0,47,3.0,43.0,1.0,0.0,47.0,16.0,E
G0059,37.542869822708234,127.09858122139606,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,18,54,16,0,88,18.0,54.0,16.0,0.0,88.0,44.8,D
G0060,37.5473765106422,127.09855705537421,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,17,72,15,0,104,17.0,72.0,15.0,0.0,104.0,48.5,D
G0061,37.551883195114534,127.09853288396904,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,32,35,27,0,94,32.0,35.0,27.0,0.0,94.0,52.9,D
G0062,37.5563898761251,127.09850870717928,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,20,8,17,0,45,20.0,8.0,17.0,0.0,45.0,33.4,E
G0063,37.560789817271726,127.09845416251034,500,249074.72,250000,0.9963,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,7,6,5,0,18,7.03,6.02,5.02,0.0,18.07,11.74,E
G0064,37.56540322776034,127.09846033744095,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,7,0,6,0,13,7.0,0.0,6.0,0.0,13.0,10.9,E
G0065,37.569137487628296,127.0984402913707,500,236835.46,250000,0.9473,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0066,37.539127691320196,127.10341771085075,500,133378.13,250000,0.5335,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,2,11,2,0,15,3.75,20.62,3.75,0.0,28.12,12.56,E
G0067,37.54288892729989,127.10424106598445,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,7,64,6,0,77,7.0,64.0,6.0,0.0,77.0,30.1,E
G0068,37.54739561832473,127.10421724067203,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,29,90,23,0,142,29.0,90.0,23.0,0.0,142.0,67.3,C
G0069,37.551902305888305,127.10419341005218,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,18,16,18,0,52,18.0,16.0,18.0,0.0,52.0,35.4,E
G0070,37.55638146037551,127.10321264982537,500,187274.66,250000,0.7491,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,11,0,8,0,19,14.68,0.0,10.68,0.0,25.36,20.96,E
G0071,37.56987072370268,127.10236951835081,500,101720.47,250000,0.4069,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,1,0,0,0,1,2.46,0.0,0.0,0.0,2.46,1.72,E
G0072,37.54320492109735,127.10816598485296,500,87469.31,250000,0.3499,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0073,37.54776205510794,127.10926782803043,500,186473.93,250000,0.7459,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,8,38,7,0,53,10.73,50.95,9.38,0.0,71.06,32.18,E
G0074,37.55129953836503,127.1095716852385,500,231637.61,250000,0.9266,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,3,41,3,0,47,3.24,44.25,3.24,0.0,50.73,18.78,E
G0075,37.555603265693854,127.10983474554912,500,226056.85,250000,0.9042,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,13,0,0,13,0.0,14.38,0.0,0.0,14.38,4.31,E
G0076,37.55659727131313,127.11390867719572,500,68958.94,250000,0.2758,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,3,0,0,3,0.0,10.88,0.0,0.0,10.88,3.26,E
